user_id,product_id,fit_preferences,weight,height,size_1,percentage_1,size_2,percentage_2
1002,7,perfect,81,165,M,77%,L,60%
1003,9,perfect,92,175,L,72%,XL,68%
1004,0,perfect,81,172,L,75%,M,59%
1005,3,tighter,87,173,M,75%,L,65%
1006,7,looser,91,184,XL,95%,L,41%
1007,1,looser,95,188,XL,92%,L,36%
1008,4,perfect,90,186,XL,74%,L,56%
1009,6,tighter,95,185,L,84%,XL,56%
1010,2,tighter,75,173,M,92%,S,48%
1011,5,looser,93,177,XL,94%,L,39%
1012,7,perfect,83,182,L,94%,XL,43%
1013,0,looser,77,174,L,93%,M,42%
1014,4,looser,83,178,XL,67%,L,64%
1015,4,tighter,82,170,M,94%,L,38%
1016,8,perfect,84,171,L,84%,M,46%
1017,7,perfect,75,172,M,90%,L,47%
1018,7,perfect,78,170,M,82%,L,56%
1019,6,tighter,80,170,M,97%,S,41%
1020,1,looser,78,167,L,89%,M,49%
1021,5,perfect,86,172,L,94%,M,40%
1022,7,looser,86,181,XL,85%,L,54%
1023,4,perfect,85,178,L,93%,XL,39%
1024,3,looser,94,187,XL,74%,XXL,66%
1025,4,perfect,71,168,M,94%,S,38%
1026,2,perfect,85,173,L,94%,M,45%
1027,4,tighter,79,173,M,96%,L,36%
1028,3,looser,79,167,L,92%,M,48%
1029,1,looser,76,169,L,84%,M,54%
1030,6,perfect,74,168,M,96%,L,43%
1031,1,tighter,104,186,XL,87%,L,51%
1032,8,perfect,93,175,XL,69%,L,61%
1033,6,tighter,90,182,L,93%,M,46%
1034,0,tighter,73,161,S,74%,M,61%
1035,6,perfect,85,183,L,89%,XL,51%
1036,3,tighter,93,182,L,93%,XL,46%
1037,4,tighter,78,173,M,96%,S,36%
1038,2,looser,85,175,XL,75%,L,66%
1039,6,perfect,76,170,M,90%,L,49%
1040,5,looser,72,161,M,91%,L,43%
1041,0,looser,94,182,XL,82%,XXL,52%
1042,3,perfect,87,179,L,87%,XL,53%
1043,8,tighter,97,185,L,70%,XL,60%
1044,7,tighter,79,173,M,96%,L,40%
1045,2,perfect,91,176,L,75%,XL,66%
1046,6,looser,74,160,M,86%,L,54%
1047,1,looser,95,182,XL,95%,L,38%
1048,5,looser,90,181,XL,92%,L,41%
1049,5,perfect,90,180,L,68%,XL,65%
1050,2,tighter,85,178,M,73%,L,67%
1051,6,tighter,92,178,L,93%,M,46%
1052,2,looser,77,174,L,94%,M,45%
1053,3,perfect,99,181,XL,96%,XXL,43%
