user_id,product_id,fit_preferences,weight,height,size_1,percentage_1,size_2,percentage_2
3,5,tighter,95,188,L,76%,XL,58%
3,3,tighter,95,188,L,78%,XL,63%
3,6,tighter,95,188,L,78%,XL,62%
7,3,perfect,82,174,L,86%,M,55%
7,8,perfect,82,174,L,81%,M,49%
11,8,perfect,83,180,L,92%,M,39%
11,2,perfect,83,180,L,95%,M,44%
14,0,perfect,85,175,L,94%,M,41%
14,5,perfect,85,175,L,94%,M,39%
17,9,tighter,88,183,L,89%,M,51%
17,6,tighter,88,183,L,89%,M,50%
19,8,looser,83,176,L,68%,XL,62%
19,6,looser,83,176,L,73%,XL,67%
20,0,perfect,82,172,L,81%,M,54%
20,2,perfect,82,172,L,83%,M,57%
21,9,looser,78,172,L,93%,M,40%
21,6,looser,78,172,L,94%,M,44%
27,5,perfect,82,175,L,86%,M,47%
27,4,perfect,82,175,L,86%,M,44%
31,5,looser,84,174,L,68%,XL,65%
31,8,looser,84,174,L,67%,XL,63%
33,6,tighter,87,181,L,82%,M,58%
33,9,tighter,87,181,L,82%,M,58%
33,8,tighter,87,181,L,78%,M,52%
34,1,perfect,92,175,L,71%,XL,67%
34,4,perfect,92,175,L,66%,XL,64%
34,9,perfect,92,175,L,68%,XL,65%
36,7,tighter,86,178,L,70%,M,68%
36,0,tighter,86,178,L,69%,M,66%
37,0,tighter,88,175,L,72%,M,63%
37,1,tighter,88,175,L,74%,M,64%
42,9,perfect,87,183,L,80%,XL,60%
42,5,perfect,87,183,L,79%,XL,55%
47,6,perfect,84,173,L,91%,M,48%
47,5,perfect,84,173,L,90%,M,43%
52,0,perfect,90,178,L,74%,XL,61%
52,7,perfect,90,178,L,75%,XL,63%
52,5,perfect,90,178,L,73%,XL,60%
54,8,looser,81,171,L,87%,XL,43%
54,7,looser,81,171,L,91%,XL,47%
54,3,looser,81,171,L,91%,XL,49%
55,0,looser,76,170,L,84%,M,50%
55,2,looser,76,170,L,86%,M,54%
55,5,looser,76,170,L,84%,M,49%
59,6,tighter,89,180,L,88%,M,52%
60,9,tighter,94,177,L,95%,XL,44%
60,3,tighter,94,177,L,95%,XL,44%
60,4,tighter,94,177,L,94%,XL,37%
61,2,perfect,89,181,L,74%,XL,66%
61,6,perfect,89,181,L,94%,M,42%
62,0,tighter,89,176,L,79%,M,55%
62,1,tighter,89,176,L,81%,M,58%
