user_id,product_id,fit_preferences,weight,height,size_1,presentage_1,size_2,presentage_2
1001,7,perfect,70,168,M,92%,S,45%
1002,1,perfect,81,165,M,77%,L,61%
1003,4,perfect,92,175,L,66%,XL,64%
1004,4,perfect,81,172,L,75%,M,56%
1005,6,tighter,87,173,M,75%,L,65%
1006,2,looser,91,184,XL,95%,L,43%
1007,4,looser,95,188,XL,91%,L,32%
1008,8,perfect,90,186,XL,77%,L,53%
1010,6,tighter,75,173,M,92%,S,47%
1011,5,looser,93,177,XL,94%,L,39%
1012,7,perfect,83,182,L,94%,XL,43%
1013,7,looser,77,174,L,93%,M,44%
1014,1,looser,83,178,XL,70%,L,68%
1015,9,tighter,82,170,M,95%,L,44%
1016,3,perfect,84,171,L,88%,M,52%
1017,7,perfect,75,172,M,90%,L,47%
1018,8,perfect,78,170,M,78%,L,52%
1019,7,tighter,80,170,M,97%,S,40%
1020,2,looser,78,167,L,90%,M,50%
1021,3,perfect,86,172,L,94%,M,45%
1022,8,looser,86,181,XL,87%,L,43%
1023,9,perfect,85,178,L,94%,XL,45%
1024,1,looser,94,187,XL,94%,L,38%
1025,6,perfect,71,168,M,94%,S,44%
1026,7,perfect,85,173,L,93%,M,44%
1027,1,tighter,79,173,M,96%,L,40%
1028,9,looser,79,167,L,92%,M,47%
1029,6,looser,76,169,L,84%,M,56%
1030,8,perfect,74,168,M,93%,L,38%
1031,6,tighter,104,186,XL,87%,L,52%
1032,3,perfect,93,175,XL,74%,L,67%
1033,3,tighter,90,182,L,92%,M,47%
1034,9,tighter,73,161,S,73%,M,60%
1035,2,perfect,85,183,L,89%,XL,52%
1036,5,tighter,93,182,L,93%,XL,41%
1037,4,tighter,78,173,M,96%,S,36%
1038,6,looser,85,175,XL,74%,L,66%
1039,4,perfect,76,170,M,88%,L,43%
1040,0,looser,72,161,M,90%,L,44%
1041,9,looser,94,182,XL,84%,XXL,56%
1042,6,perfect,87,179,L,88%,XL,52%
1043,8,tighter,97,185,L,70%,XL,60%
1045,5,perfect,91,176,L,72%,XL,61%
1046,4,looser,74,160,M,83%,L,47%
1047,5,looser,95,182,XL,95%,L,35%
1048,9,looser,90,181,XL,96%,XXL,43%
1049,5,perfect,90,180,L,68%,XL,65%
1050,8,tighter,85,178,M,69%,L,61%
1051,1,tighter,92,178,L,93%,M,44%
1052,4,looser,77,174,L,93%,M,38%
1053,5,perfect,99,181,XL,92%,L,41%
1054,9,tighter,76,170,M,90%,S,49%
1056,7,perfect,82,180,L,93%,M,44%
1057,7,perfect,89,182,L,72%,XL,67%
1058,3,looser,97,186,XXL,77%,XL,63%
1059,0,tighter,91,177,L,88%,M,46%
1060,0,tighter,83,179,M,79%,L,56%
1061,3,tighter,66,168,S,86%,M,55%
1062,0,tighter,86,178,L,69%,M,66%
1063,3,looser,92,180,XL,93%,XXL,46%
1064,3,tighter,81,178,M,89%,L,51%
1065,7,perfect,95,181,XL,86%,L,53%
1066,5,tighter,88,180,L,83%,M,50%
1067,6,perfect,69,169,M,91%,S,48%
1068,0,tighter,93,184,L,90%,XL,44%
1069,1,looser,81,168,L,94%,XL,43%
1070,7,looser,73,169,M,72%,L,66%
1071,1,looser,83,169,L,86%,XL,49%
1072,6,looser,80,176,L,88%,XL,51%
1073,3,tighter,80,173,M,95%,L,43%
1074,8,tighter,72,167,S,66%,M,64%
1075,3,tighter,97,178,L,88%,XL,53%
1076,4,looser,85,175,XL,70%,L,60%
1077,0,perfect,88,180,L,80%,XL,55%
1078,1,looser,80,169,L,95%,XL,42%
1079,6,tighter,80,174,M,95%,L,43%
1080,2,tighter,83,180,M,78%,L,62%
1081,6,tighter,69,160,S,87%,M,52%
1083,6,perfect,79,172,M,73%,L,67%
1084,1,perfect,89,180,L,76%,XL,62%
1085,0,tighter,85,178,M,71%,L,63%
1086,7,perfect,74,167,M,96%,L,41%
1087,4,perfect,91,181,XL,70%,L,60%
1088,3,perfect,99,182,XL,95%,XXL,43%
1089,6,tighter,96,181,L,92%,M,46%
1090,3,tighter,77,176,M,96%,S,42%
1091,8,perfect,86,178,L,88%,XL,42%
1092,3,perfect,90,183,XL,76%,L,65%
1093,1,looser,93,181,XL,95%,L,40%
1094,9,perfect,77,175,M,77%,L,63%
1095,4,perfect,84,180,L,93%,XL,38%
1096,1,looser,84,170,L,80%,XL,58%
1097,9,tighter,100,193,XL,91%,L,48%
1098,1,perfect,76,172,M,87%,L,51%
1100,4,looser,87,181,XL,86%,L,44%
1101,0,tighter,89,178,L,83%,M,51%
1102,8,perfect,88,182,L,73%,XL,57%
1103,1,perfect,87,184,L,78%,XL,60%
1104,0,perfect,96,185,XL,96%,L,39%
1105,8,tighter,90,182,L,89%,M,41%
1106,1,perfect,102,189,XL,95%,L,38%
1107,2,perfect,70,171,M,95%,S,44%
1108,8,perfect,86,179,L,87%,XL,43%
1109,5,perfect,76,165,M,94%,L,39%
1110,5,looser,88,177,XL,85%,L,48%
1111,2,perfect,97,182,XL,91%,L,48%
1112,3,tighter,77,175,M,96%,S,43%
1113,6,tighter,73,165,S,70%,M,68%
1114,2,tighter,93,177,L,94%,M,45%
1115,0,tighter,90,180,L,90%,M,45%
1116,7,looser,103,185,XL,41%,L,15%
1117,2,perfect,91,182,XL,76%,L,65%
1118,4,tighter,102,187,XL,82%,L,48%
1119,8,tighter,74,166,M,71%,S,58%
1120,6,tighter,84,179,M,76%,L,64%
1121,3,perfect,81,173,L,80%,M,61%
1122,7,tighter,78,170,M,94%,S,43%
1123,7,looser,88,179,XL,88%,L,50%
1124,5,tighter,74,162,S,68%,M,65%
1125,1,perfect,74,170,M,94%,L,43%
1126,5,looser,84,178,XL,72%,L,61%
1127,1,looser,83,178,XL,70%,L,68%
1128,5,looser,92,179,XL,94%,L,39%
1129,3,looser,85,176,XL,79%,L,62%
1130,2,perfect,94,188,XL,90%,L,49%
1131,1,tighter,83,169,M,94%,L,43%
1132,5,perfect,92,186,XL,82%,L,51%
1133,4,looser,85,175,XL,70%,L,60%
1134,6,perfect,75,171,M,92%,L,47%
1135,1,tighter,64,159,S,94%,M,42%
1136,5,looser,84,174,L,68%,XL,65%
1137,6,tighter,87,176,M,75%,L,63%
1138,3,looser,83,176,L,73%,XL,67%
1139,0,tighter,84,175,M,82%,L,52%
1140,0,tighter,74,169,M,81%,S,54%
1141,6,looser,91,180,XL,94%,L,44%
1142,5,looser,86,172,XL,71%,L,62%
1143,1,looser,72,169,M,78%,L,60%
1144,2,perfect,79,170,M,77%,L,63%
1145,8,perfect,87,176,L,88%,XL,43%
1146,0,perfect,86,183,L,83%,XL,51%
1147,6,perfect,83,175,L,91%,M,49%
1148,4,tighter,89,175,L,76%,M,54%
1149,5,looser,75,166,L,69%,M,64%
1150,3,looser,90,173,XL,93%,L,46%
1151,6,looser,89,182,XL,92%,L,46%
1152,0,tighter,97,187,L,68%,XL,66%
1153,8,perfect,87,179,L,83%,XL,47%
1154,6,perfect,85,175,L,95%,M,44%
1155,1,perfect,106,186,XL,90%,L,35%
1156,7,perfect,81,173,L,79%,M,59%
1157,1,perfect,68,162,M,75%,S,64%
1158,4,tighter,76,172,M,92%,S,39%
1159,0,looser,88,179,XL,93%,L,41%
1160,1,perfect,90,181,XL,70%,L,68%
1161,6,perfect,71,170,M,96%,S,43%
1162,7,looser,83,173,L,79%,XL,59%
1163,1,perfect,74,166,M,96%,L,40%
1164,5,looser,92,179,XL,94%,L,39%
1165,3,tighter,78,170,M,94%,S,45%
1166,5,tighter,80,172,M,96%,L,38%
1167,9,looser,83,173,L,79%,XL,61%
1168,3,perfect,87,183,L,81%,XL,60%
1169,3,tighter,71,166,S,75%,M,65%
1170,6,tighter,73,166,M,72%,S,68%
1171,8,perfect,81,176,L,81%,M,49%
1172,4,looser,77,172,L,91%,M,40%
1173,4,looser,86,182,XL,84%,L,46%
1174,4,perfect,98,186,XL,93%,L,38%
1175,1,tighter,79,170,M,96%,S,41%
1176,3,tighter,96,183,L,83%,XL,57%
1177,7,looser,87,174,XL,79%,L,59%
1180,6,looser,97,177,L,40%,M,15%
1181,8,looser,77,169,L,84%,M,46%
1182,4,perfect,92,185,XL,80%,L,50%
1183,4,looser,94,189,XL,92%,L,32%
1184,4,tighter,84,167,M,93%,L,39%
1185,0,perfect,73,169,M,96%,L,39%
1186,0,looser,82,173,L,83%,XL,52%
1187,4,tighter,86,176,M,68%,L,62%
1188,0,looser,70,165,M,92%,L,43%
1189,4,tighter,81,169,M,96%,L,36%
1190,1,perfect,90,173,L,85%,XL,53%
1191,2,tighter,76,175,M,95%,S,44%
1193,7,tighter,80,180,M,89%,L,48%
1194,3,perfect,83,180,L,95%,M,44%
1195,7,tighter,81,174,M,93%,L,44%
1196,7,looser,80,175,L,89%,XL,48%
1197,6,looser,84,169,L,82%,XL,58%
1198,2,perfect,88,174,L,91%,XL,49%
1199,3,looser,87,173,XL,83%,L,58%
1200,0,perfect,82,168,L,72%,M,63%
1201,4,looser,70,164,M,92%,L,39%
1202,5,looser,77,172,L,91%,M,42%
1203,4,tighter,67,164,S,86%,M,45%
1204,1,perfect,91,178,L,70%,XL,68%
1205,3,tighter,73,168,M,76%,S,64%
1206,2,perfect,83,183,L,94%,XL,46%
