user_id,Gender,Age,fit preference,Height,Weight
1,Male,25,perfect,187,108
2,Male,34,perfect,174,73
3,Male,18,tighter,188,95
4,Male,28,perfect,182,99
5,Male,37,perfect,177,92
6,Male,43,perfect,170,68
7,Male,34,perfect,174,82
8,Male,26,tighter,173,75
9,Male,25,tighter,170,79
10,Male,33,looser,161,70
11,Male,34,perfect,180,83
12,Male,25,perfect,181,96
13,Male,39,tighter,164,75
14,Male,31,perfect,175,85
15,Male,43,tighter,175,83
16,Male,22,perfect,171,77
17,Male,38,tighter,183,88
18,Male,29,perfect,162,77
19,Male,35,looser,176,83
20,Male,28,perfect,172,82
21,Male,20,looser,172,78
22,Male,47,looser,176,88
23,Male,30,looser,168,67
24,Male,36,perfect,191,102
25,Male,49,tighter,172,72
26,Male,46,tighter,173,86
27,Male,40,perfect,175,82
28,Male,30,perfect,184,93
29,Male,31,tighter,171,78
30,Male,33,perfect,173,69
31,Male,27,looser,174,84
32,Male,33,perfect,188,95
33,Male,38,tighter,181,87
34,Male,40,perfect,175,92
35,Male,33,looser,176,91
36,Male,41,tighter,178,86
37,Male,18,tighter,175,88
38,Male,28,tighter,170,82
39,Male,22,tighter,167,73
40,Male,28,perfect,163,73
41,Male,40,tighter,172,77
42,Male,26,perfect,183,87
43,Male,36,perfect,165,75
44,Male,33,tighter,167,72
45,Male,21,perfect,171,74
46,Male,43,looser,178,85
47,Male,45,perfect,173,84
48,Male,24,perfect,183,94
49,Male,23,tighter,175,86
50,Male,47,perfect,185,95
51,Male,44,looser,164,74
52,Male,44,perfect,178,90
53,Male,45,tighter,173,78
54,Male,38,looser,171,81
55,Male,24,looser,170,76
56,Male,24,tighter,168,73
57,Male,36,looser,173,85
58,Male,39,looser,179,86
59,Male,45,tighter,180,89
60,Male,26,tighter,177,94
61,Male,42,perfect,181,89
62,Male,47,tighter,176,89
63,Male,39,looser,187,87
64,Male,38,tighter,170,74
65,Male,46,looser,181,80
66,Male,31,looser,165,69
67,Male,27,looser,173,83
68,Male,25,perfect,184,99
69,Male,48,looser,172,82
70,Male,21,looser,174,88
71,Male,27,perfect,175,83
72,Male,41,perfect,179,93
73,Male,30,perfect,176,79
74,Male,44,tighter,171,73
